,power_power_plant,total_modules,modules_amount,tables_display,comprimento_mesa,largura_mesa,tables_amount,cobre_nu,haste,elcectodes_connector,foundation_connector,splitbolt
508,822.96,1524,"[216, 219]","[3.0, 4.0]",83286.0,77579.0,7.0,585.588,36.0,36.0,33.0,36.0
509,824.58,1527,"[216, 219]","[2.0, 5.0]",83286.0,77579.0,7.0,585.588,36.0,36.0,33.0,36.0
510,826.2,1530,[255.0],[6],96978.0,65782.0,6.0,531.476,30.0,30.0,28.0,30.0
511,827.82,1533,[219.0],[7],83286.0,77579.0,7.0,585.588,36.0,36.0,33.0,36.0
512,829.44,1536,"[219, 222]","[6.0, 1.0]",84427.0,77579.0,7.0,591.293,36.0,36.0,33.0,36.0
513,831.06,1539,"[219, 222]","[5.0, 2.0]",84427.0,77579.0,7.0,591.293,36.0,36.0,33.0,36.0
514,832.68,1542,"[219, 222]","[4.0, 3.0]",84427.0,77579.0,7.0,591.293,36.0,36.0,33.0,36.0
515,834.3,1545,[309.0],[5],117516.0,53985.0,5.0,590.034,32.0,32.0,30.0,32.0
516,835.92,1548,[258.0],[6],98119.0,65782.0,6.0,536.04,34.0,34.0,32.0,34.0
517,837.54,1551,"[219, 222]","[1.0, 6.0]",84427.0,77579.0,7.0,591.293,36.0,36.0,33.0,36.0
518,839.16,1554,[222.0],[7],84427.0,77579.0,7.0,591.293,36.0,36.0,33.0,36.0
519,840.78,1557,"[222, 225]","[6.0, 1.0]",85568.0,77579.0,7.0,596.998,36.0,36.0,33.0,36.0
520,842.4,1560,[312.0],[5],118657.0,53985.0,5.0,594.598,36.0,36.0,34.0,36.0
521,844.02,1563,"[222, 225]","[4.0, 3.0]",85568.0,77579.0,7.0,596.998,36.0,36.0,33.0,36.0
522,845.64,1566,[261.0],[6],99260.0,65782.0,6.0,540.604,34.0,34.0,32.0,34.0
523,847.26,1569,"[222, 225]","[2.0, 5.0]",85568.0,77579.0,7.0,596.998,36.0,36.0,33.0,36.0
524,848.88,1572,"[222, 225]","[1.0, 6.0]",85568.0,77579.0,7.0,596.998,36.0,36.0,33.0,36.0
525,850.5,1575,[225.0],[7],85568.0,77579.0,7.0,596.998,36.0,36.0,33.0,36.0
526,852.12,1578,"[225, 228]","[6.0, 1.0]",86709.0,77579.0,7.0,602.703,36.0,36.0,33.0,36.0
527,853.74,1581,"[225, 228]","[5.0, 2.0]",86709.0,77579.0,7.0,602.703,36.0,36.0,33.0,36.0
528,855.36,1584,[264.0],[6],100401.0,65782.0,6.0,545.168,34.0,34.0,32.0,34.0
529,856.98,1587,"[225, 228]","[3.0, 4.0]",86709.0,77579.0,7.0,602.703,36.0,36.0,33.0,36.0
530,858.6,1590,[318.0],[5],120939.0,53985.0,5.0,603.726,36.0,36.0,34.0,36.0
531,860.22,1593,"[225, 228]","[1.0, 6.0]",86709.0,77579.0,7.0,602.703,36.0,36.0,33.0,36.0
532,861.84,1596,[228.0],[7],86709.0,77579.0,7.0,602.703,36.0,36.0,33.0,36.0
533,863.46,1599,"[228, 231]","[6.0, 1.0]",87850.0,77579.0,7.0,608.408,36.0,36.0,33.0,36.0
534,865.08,1602,[267.0],[6],101542.0,65782.0,6.0,549.732,34.0,34.0,32.0,34.0
535,866.7,1605,[321.0],[5],122080.0,53985.0,5.0,608.29,36.0,36.0,34.0,36.0
536,868.32,1608,"[228, 231]","[3.0, 4.0]",87850.0,77579.0,7.0,608.408,36.0,36.0,33.0,36.0
537,869.94,1611,"[228, 231]","[2.0, 5.0]",87850.0,77579.0,7.0,608.408,36.0,36.0,33.0,36.0
538,871.56,1614,"[228, 231]","[1.0, 6.0]",87850.0,77579.0,7.0,608.408,36.0,36.0,33.0,36.0
539,873.18,1617,[231.0],[7],87850.0,77579.0,7.0,608.408,36.0,36.0,33.0,36.0
540,874.8,1620,[270.0],[6],102683.0,65782.0,6.0,554.296,34.0,34.0,32.0,34.0
541,876.42,1623,"[231, 234]","[5.0, 2.0]",88991.0,77579.0,7.0,614.113,36.0,36.0,33.0,36.0
542,878.04,1626,"[231, 234]","[4.0, 3.0]",88991.0,77579.0,7.0,614.113,36.0,36.0,33.0,36.0
543,879.66,1629,"[231, 234]","[3.0, 4.0]",88991.0,77579.0,7.0,614.113,36.0,36.0,33.0,36.0
544,881.28,1632,"[231, 234]","[2.0, 5.0]",88991.0,77579.0,7.0,614.113,36.0,36.0,33.0,36.0
545,882.9,1635,[327.0],[5],124362.0,53985.0,5.0,617.418,36.0,36.0,34.0,36.0
546,884.52,1638,[234.0],[7],88991.0,77579.0,7.0,614.113,36.0,36.0,33.0,36.0
